Ref.* (p.ref);Label* (p.label);Type* (p.fk_product_type);For sale* (p.tosell);For purchase* (p.tobuy);Description (p.description);Public URL (p.url);Customs|Commodity|HS code (p.customcode);Country code (p.fk_country);Accounting code (sale) (p.accountancy_code_sell);Accounting code (sale intra-Community) (p.accountancy_code_sell_intra);Accounting code (sale export) (p.accountancy_code_sell_export);Accounting code (purchase) (p.accountancy_code_buy);Accounting code (purchase intra-community) (p.accountancy_code_buy_intra);Accounting code (purchase import) (p.accountancy_code_buy_export);Note (public) (p.note_public);Note (private) (p.note);Weight (p.weight);Weight unit (p.weight_units);Length (p.length);Length unit (p.length_units);Width (p.width);Width unit (p.width_units);Height (p.height);Height unit (p.height_units);Surface (p.surface);Surface unit (p.surface_units);Volume (p.volume);Volume unit (p.volume_units);Duration (p.duration);Nature of product (raw/manufactured) (p.finished);Selling price (excl. tax) (p.price);Min. selling price (p.price_min);Selling price (inc. tax) (p.price_ttc);Minimum Selling price (inc. tax) (p.price_min_ttc);PriceBaseType (p.price_base_type);Tax Rate (p.tva_tx);Creation date (p.datec);CostPrice (p.cost_price);Default warehouse (p.fk_default_warehouse);ManageLotSerial (p.tobatch);Stock limit for alert (p.seuil_stock_alerte);Weighted average price (p.pmp);Desired Stock (p.desiredstock)
PS00000001;Quinoa Bio;0;1;1;Le quinoa bio est une céréale sans gluten riche en protéines et en fibres. Il est cultivé selon des méthodes durables, ce qui en fait un choix nutritif et respectueux de l'environnement.;;;;;;;;;;;;500;g;25;cm;10;cm;15;cm;cm²;m³;365d;0;10;8;10;12;HT;10;09-02-24;90;;0;100;100;;;
PS00000002;Graines de Chia Bio;0;1;1;Les graines de chia bio sont riches en acides gras oméga-3, en antioxydants et en fibres. Elles sont récoltées de manière durable et peuvent être ajoutées aux smoothies, au yaourt ou aux produits de boulangerie pour une valeur nutritive accrue.;;;;;;;;;;;;250;g;20;cm;15;cm;10;cm;cm²;m³;365d;0;8;6;8;10;HT;10;09-02-24;90;;0;100;100;;;
PS00000003;Huile de Coco Bio;0;1;1;L'huile de coco bio est une matière grasse polyvalente et saine qui peut être utilisée pour cuisiner, faire de la pâtisserie et des soins de la peau. Elle est extraite de noix de coco fraîches selon des méthodes traditionnelles, préservant ainsi ses nutriments et sa saveur.;;;;;;;;;;;;750;ml;10;cm;10;cm;20;cm;cm²;m³;365d;0;10;12;15;18;HT;10;09-02-24;90;;0;100;100;;;
PS00000004;Beurre d'Amande Bio;0;1;1;Le beurre d'amande bio est une pâte nutritive fabriquée à partir d'amandes grillées. Il est riche en protéines, en acides gras sains et en vitamines, ce qui en fait un ajout délicieux et sain à tout régime alimentaire.;;;;;;;;;;;;400;g;15;cm;8;cm;8;cm;cm²;m³;365d;0;7;5;7;9;HT;10;09-02-24;90;;0;100;100;;;
PS00000005;Thé Vert Bio;0;1;1;Le thé vert bio est une boisson rafraîchissante riche en antioxydants et en nutriments. Il est cultivé sans l'utilisation de pesticides ou d'engrais synthétiques, préservant ainsi son goût naturel et ses bienfaits pour la santé.;;;;;;;;;;;;100;g;10;cm;5;cm;15;cm;cm²;m³;365d;0;5;3;5;7;HT;10;09-02-24;90;;0;100;100;;;
PF00000001;Fraises Bio;0;1;1;Les fraises bio sont des fruits délicieux et juteux, riches en vitamines et en antioxydants. Elles sont cultivées sans l'utilisation de pesticides chimiques, ce qui les rend sûres et nutritives à consommer.;;;;;;;;;;;;200;g;8;cm;6;cm;5;cm;cm²;m³;365d;0;4;3;4;6;HT;10;09-02-24;90;;0;100;100;;;
PF00000002;Amandes Bio;0;1;1;Les amandes bio sont une source saine de protéines, de fibres et de graisses insaturées. Elles sont cultivées selon des pratiques agricoles durables et sont idéales pour une alimentation équilibrée et nutritive.;;;;;;;;;;;;250;g;10;cm;8;cm;6;cm;cm²;m³;365d;0;6;4;6;8;HT;10;09-02-24;90;;0;100;100;;;
PF00000003;Oranges Bio;0;1;1;Les oranges bio sont des agrumes juteux et savoureux, riches en vitamine C et en antioxydants. Elles sont cultivées sans l'utilisation de pesticides chimiques, ce qui les rend sûres et bénéfiques pour la santé.;;;;;;;;;;;;300;g;12;cm;8;cm;6;cm;cm²;m³;365d;0;5;4;5;7;HT;10;09-02-24;90;;0;100;100;;;
PF00000004;Purée de Potiron Bio;0;1;1;La purée de potiron bio est un ingrédient polyvalent et nutritif, idéal pour les soupes, les purées et les plats d'accompagnement. Elle est fabriquée à partir de potirons bio fraîchement récoltés, préservant ainsi leur saveur naturelle et leurs nutriments.;;;;;;;;;;;;500;g;15;cm;10;cm;10;cm;cm²;m³;365d;0;4;3;4;6;HT;10;09-02-24;90;;0;100;100;;;
PF00000005;Baies de Maqui Bio;0;1;1;Les baies de maqui bio sont des superfruits riches en antioxydants et en nutriments. Elles sont récoltées dans des conditions respectueuses de l'environnement, préservant ainsi leur qualité et leurs bienfaits pour la santé.;;;;;;;;;;;;100;g;8;cm;5;cm;5;cm;cm²;m³;365d;0;7;5;7;9;HT;10;09-02-24;90;;0;100;100;;;
PF00000006;Graines de Courge Bio;0;1;1;Les graines de courge bio sont riches en protéines, en fibres et en acides gras sains. Elles sont idéales pour les collations, les salades et les plats cuisinés, ajoutant une texture croquante et une save;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
